Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1960	29.4	29.1	28.1	27.5	23.2	21.9	20.8	21.8	25.0	27.3	28.2	29.3	26.0
1961	27.9	28.5	27.7	26.4	23.5	22.1	21.8	22.4	24.9	26.5	27.5	28.8	25.7
1962	29.4	30.0	27.6	25.3	23.9	22.9	21.5	22.5	25.0	27.5	29.3	27.5	26.0
1963	28.6	30.1	28.8	26.3	24.8	21.8	21.3	22.6	25.4	25.5	26.5	28.1	25.8
1964	30.4	29.9	29.1	27.5	24.6	21.9	21.9	23.4	24.5	26.6	28.0	29.3	26.4
1965	29.2	29.5	28.9	27.6	24.8	21.9	20.5	22.8	24.8	25.7	28.4	28.2	26.0
1966	28.2	29.8	28.7	26.7	23.8	21.6	20.9	21.7	24.9	25.3	27.8	28.7	25.7
1967	29.5	28.6	27.9	26.3	23.5	21.7	20.9	21.9	24.9	26.6	28.0	28.1	25.7
1968	28.7	28.5	28.5	27.9	23.2	22.3	20.7	22.9	24.4	28.0	29.2	28.8	26.1
1969	30.9	29.9	28.5	27.4	24.0	21.9	22.0	23.6	24.1	25.2	28.2	29.6	26.3
1970	30.2	28.8	29.2	27.3	24.0	23.2	22.0	23.8	24.8	26.9	27.2	28.4	26.3
1991	29.7	30.0	29.4	27.7	25.4	25.1	22.2	24.8	26.9	27.3	28.3	29.3	27.2
1992	31.3	29.6	28.0	26.4	23.7	21.9	22.1	23.0	24.9	26.0	28.6	28.6	26.2
1993	29.6	30.1	29.5	27.5	25.4	23.6	23.2	23.7	24.3	25.9	27.3	29.0	26.6
1994	30.7	28.8	28.0	25.9	25.0	22.8	21.9	22.9	25.8	26.7	29.8	29.2	26.5
1995	29.7	28.7	30.1	27.4	24.6	22.1	22.5	22.8	25.6	26.1	29.2	29.8	26.6
1996	30.2	30.7	29.3	28.2	24.8	23.4	21.8	23.1	26.0	26.0	28.4	29.4	26.8
1997	29.2	30.3	28.3	27.2	24.4	22.5	22.1	23.3	26.1	26.4	29.0	31.5	26.7
1998	31.7	31.9	31.5	28.4	25.4	22.9	22.3	24.3	25.8	27.3	27.9	30.0	27.4
1999	30.5	30.0	29.6	27.4	25.7	21.8	21.9	23.1	25.2	27.4	27.0	28.3	26.5
2000	29.7	28.8	30.0	26.8	24.6	21.5	22.4	24.4	26.7	27.2	26.9	29.1	26.5
2001	30.1	30.0	31.1	27.6	25.6	24.0	23.2	24.1	25.6	28.2	28.5	31.3	27.4
2002	32.2	32.3	29.9	29.0	25.3	23.0	23.0	22.6	26.1	27.9	28.3	30.5	27.5
2003	30.6	29.6	28.9	27.4	25.0	24.2	22.4	23.6	27.2	27.6	28.6	29.4	27.0
2004	31.0	31.8	29.0	27.7	25.0	23.9	23.6	24.6	25.4	28.1	29.1	29.9	27.4
2005	30.4	30.9	29.6	28.1	25.1	22.7	22.8	22.8	25.7	28.3	28.7	32.0	27.3
2006	31.6	31.7	29.2	28.0	25.4	22.7	22.7	24.7	25.1	26.5	28.7	28.4	27.1
2007	31.0	29.7	30.7	28.5	27.0	20.5	22.0	24.1	25.3	28.1	27.8	29.3	27.0
2008	29.4	29.5	28.7	27.4	24.8	23.6	21.4	22.2	25.7	26.9	30.0	31.3	26.7
2009	30.4	30.3	29.2	28.3	24.3	22.8	22.6	25.7	26.7	28.0	29.3	30.4	27.3
2010	30.8	29.5	28.3	28.0	24.9	22.7	23.1	23.0	25.8	26.9	27.1	29.1	26.6
2011	30.3	31.1	29.3	27.1	23.8	22.1	22.3	23.9	25.5	27.2	30.1	29.1	26.8
2012	29.6	30.4	29.1	27.6	24.5	21.4	21.7	23.8	25.7	27.1	29.1	31.7	26.8
2013	31.9	29.7	28.6	27.4	24.2	22.3	23.3	25.6	28.5	29.3	30.0	30.4	27.6
2014	31.7	30.5	30.2	28.3	25.6	23.8	22.9	23.7	25.9	28.2	30.0	30.4	27.6
2015	31.1	30.9	30.9	27.2	25.4	23.6	22.8	24.5	26.1	28.0	29.1	30.4	27.5
2016	30.4	31.0	30.5	29.3	27.7	23.1	23.2	23.6	26.4	27.5	30.5	30.6	27.8
2017	31.6	32.9	30.8	27.7	25.7	23.8	24.4	25.6	27.9	27.4	27.7	30.5	28.0
2018	31.4	30.1	30.0	28.6	25.7	23.8	24.1	25.3	27.0	27.6	30.3	30.2	27.8
2019	32.0	32.3	31.3	28.4	25.7	23.2	24.3	25.1	28.2	27.9	30.9	32.5	28.5
2020	31.7	31.4	29.6	28.8	24.5	23.7	22.6	24.0	26.0	28.5	30.2	30.5	27.6
2021	30.3	30.9	29.7	27.3	25.9	22.7	22.8	24.6	25.7	28.7	28.1	30.2	27.2
