Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
New Zealand,NZL,2021-02-14,0,
New Zealand,NZL,2021-02-15,0,
New Zealand,NZL,2021-02-17,0,
New Zealand,NZL,2021-02-19,0,
New Zealand,NZL,2021-02-20,0,
New Zealand,NZL,2021-02-21,0,
New Zealand,NZL,2021-02-22,0.01,
New Zealand,NZL,2021-02-23,0.02,
New Zealand,NZL,2021-02-24,0.03,
New Zealand,NZL,2021-02-25,0.06,
New Zealand,NZL,2021-02-26,0.09,
New Zealand,NZL,2021-02-27,0.11,
New Zealand,NZL,2021-02-28,0.13,
New Zealand,NZL,2021-03-01,0.16,
New Zealand,NZL,2021-03-02,0.19,
New Zealand,NZL,2021-03-03,0.23,
New Zealand,NZL,2021-03-04,0.26,
New Zealand,NZL,2021-03-05,0.28,
New Zealand,NZL,2021-03-06,0.29,
New Zealand,NZL,2021-03-07,0.3,
New Zealand,NZL,2021-03-08,0.33,
New Zealand,NZL,2021-03-09,0.35,
New Zealand,NZL,2021-03-10,0.38,
New Zealand,NZL,2021-03-11,0.4,
New Zealand,NZL,2021-03-12,0.42,
New Zealand,NZL,2021-03-13,0.44,
New Zealand,NZL,2021-03-14,0.45,
New Zealand,NZL,2021-03-15,0.48,
New Zealand,NZL,2021-03-16,0.52,
New Zealand,NZL,2021-03-17,0.55,
New Zealand,NZL,2021-03-18,0.58,
New Zealand,NZL,2021-03-19,0.62,
New Zealand,NZL,2021-03-20,0.63,
New Zealand,NZL,2021-03-21,0.65,
New Zealand,NZL,2021-03-22,0.67,
New Zealand,NZL,2021-03-23,0.7,
New Zealand,NZL,2021-03-24,0.73,
New Zealand,NZL,2021-03-25,0.77,
New Zealand,NZL,2021-03-26,0.84,
New Zealand,NZL,2021-03-27,0.86,
New Zealand,NZL,2021-03-28,0.87,
New Zealand,NZL,2021-03-29,0.95,
New Zealand,NZL,2021-03-30,1.03,
New Zealand,NZL,2021-03-31,1.13,
New Zealand,NZL,2021-04-01,1.24,
New Zealand,NZL,2021-04-02,1.27,
New Zealand,NZL,2021-04-03,1.3,
New Zealand,NZL,2021-04-04,1.31,
New Zealand,NZL,2021-04-05,1.33,
New Zealand,NZL,2021-04-06,1.4,
New Zealand,NZL,2021-04-07,1.5,
New Zealand,NZL,2021-04-08,1.62,
New Zealand,NZL,2021-04-09,1.73,
New Zealand,NZL,2021-04-10,1.79,
New Zealand,NZL,2021-04-11,1.84,
New Zealand,NZL,2021-04-12,1.96,
New Zealand,NZL,2021-04-13,2.09,
New Zealand,NZL,2021-04-14,2.22,
New Zealand,NZL,2021-04-15,2.36,
New Zealand,NZL,2021-04-16,2.49,
New Zealand,NZL,2021-04-17,2.57,
New Zealand,NZL,2021-04-18,2.59,
New Zealand,NZL,2021-04-19,2.69,
New Zealand,NZL,2021-04-20,2.81,
New Zealand,NZL,2021-04-21,2.94,
New Zealand,NZL,2021-04-22,3.07,
New Zealand,NZL,2021-04-23,3.23,
New Zealand,NZL,2021-04-24,3.29,
New Zealand,NZL,2021-04-25,3.32,
New Zealand,NZL,2021-04-26,3.35,
New Zealand,NZL,2021-04-27,3.48,
New Zealand,NZL,2021-04-28,3.63,
New Zealand,NZL,2021-04-29,3.77,
New Zealand,NZL,2021-04-30,3.94,
New Zealand,NZL,2021-05-01,4,
New Zealand,NZL,2021-05-02,4.03,
New Zealand,NZL,2021-05-03,4.16,
