Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,0.02,
Afghanistan,AFG,2021-03-16,0.13,
Afghanistan,AFG,2021-04-07,0.3,
Afghanistan,AFG,2021-04-22,0.6,
Afghanistan,AFG,2021-05-11,1.12,
Afghanistan,AFG,2021-05-20,1.17,
Afghanistan,AFG,2021-05-24,1.19,
Afghanistan,AFG,2021-05-26,1.2,
Afghanistan,AFG,2021-05-27,1.2,
Afghanistan,AFG,2021-05-30,1.2,
Afghanistan,AFG,2021-06-02,1.2,
Afghanistan,AFG,2021-06-03,1.2,
Afghanistan,AFG,2021-06-08,1.2,
Afghanistan,AFG,2021-06-14,1.21,
Afghanistan,AFG,2021-06-22,1.45,
Afghanistan,AFG,2021-06-27,1.62,
Afghanistan,AFG,2021-06-30,1.74,
Afghanistan,AFG,2021-07-05,1.81,
Afghanistan,AFG,2021-07-07,1.83,
Afghanistan,AFG,2021-07-11,1.85,
Afghanistan,AFG,2021-08-20,1.92,
Afghanistan,AFG,2021-08-31,1.93,
Afghanistan,AFG,2021-09-30,2.07,
Afghanistan,AFG,2021-11-14,8.8,
Afghanistan,AFG,2021-12-27,10.33,
Afghanistan,AFG,2022-01-09,10.87,
Afghanistan,AFG,2022-01-11,10.92,
Afghanistan,AFG,2022-01-13,10.99,
Afghanistan,AFG,2022-01-17,11.05,
Afghanistan,AFG,2022-01-19,11.1,
Afghanistan,AFG,2022-01-24,11.19,
Afghanistan,AFG,2022-01-26,11.25,
Afghanistan,AFG,2022-01-27,11.27,
Afghanistan,AFG,2022-01-31,11.36,
Afghanistan,AFG,2022-02-02,11.42,
Afghanistan,AFG,2022-02-07,11.56,
Afghanistan,AFG,2022-02-14,11.78,
Afghanistan,AFG,2022-02-20,11.97,
Afghanistan,AFG,2022-02-27,12.24,
Afghanistan,AFG,2022-03-06,12.35,
Afghanistan,AFG,2022-03-17,12.63,
Afghanistan,AFG,2022-03-22,12.68,
Afghanistan,AFG,2022-04-04,12.94,
Afghanistan,AFG,2022-04-14,13.08,
Afghanistan,AFG,2022-04-18,13.1,
Afghanistan,AFG,2022-04-26,13.18,
Afghanistan,AFG,2022-04-27,13.18,
Afghanistan,AFG,2022-05-05,13.26,
Afghanistan,AFG,2022-05-08,13.27,
Afghanistan,AFG,2022-05-10,13.28,
Afghanistan,AFG,2022-05-15,13.37,
Afghanistan,AFG,2022-05-23,13.49,
Afghanistan,AFG,2022-06-01,13.61,
Afghanistan,AFG,2022-06-15,13.9,
Afghanistan,AFG,2022-06-21,14.04,
Afghanistan,AFG,2022-06-30,14.25,
Afghanistan,AFG,2022-07-10,14.35,
Afghanistan,AFG,2022-07-17,14.89,
Afghanistan,AFG,2022-07-19,17.8,
Africa,,2021-01-09,0,
Africa,,2021-01-10,0,
Africa,,2021-01-11,0,
Africa,,2021-01-12,0,
Africa,,2021-01-13,0,
Africa,,2021-01-14,0,
Africa,,2021-01-15,0,
Africa,,2021-01-16,0,
Africa,,2021-01-17,0,
Africa,,2021-01-18,0,
Africa,,2021-01-19,0,
Africa,,2021-01-20,0,
Africa,,2021-01-21,0,
Africa,,2021-01-22,0,
Africa,,2021-01-23,0,
Africa,,2021-01-24,0,
Africa,,2021-01-25,0,
Africa,,2021-01-26,0,
Africa,,2021-01-27,0,
Africa,,2021-01-28,0,
Africa,,2021-01-29,0,
Africa,,2021-01-30,0,
Africa,,2021-01-31,0,
Africa,,2021-02-01,0,
Africa,,2021-02-02,0,
Africa,,2021-02-03,0,
Africa,,2021-02-04,0,
Africa,,2021-02-05,0,
Africa,,2021-02-06,0,
Africa,,2021-02-07,0,
Africa,,2021-02-08,0,
Africa,,2021-02-09,0,
Africa,,2021-02-10,0,
Africa,,2021-02-11,0,
Africa,,2021-02-12,0,
Africa,,2021-02-13,0,
Africa,,2021-02-14,0,
Africa,,2021-02-15,0,
Africa,,2021-02-16,0,
Africa,,2021-02-17,0,
Africa,,2021-02-18,0,
Africa,,2021-02-19,0.18,
Africa,,2021-02-20,0.19,
Africa,,2021-02-21,0.19,
Africa,,2021-02-22,0.19,
Africa,,2021-02-23,0.2,
Africa,,2021-02-24,0.22,
Africa,,2021-02-25,0.24,
Africa,,2021-02-26,0.26,
Africa,,2021-02-27,0.26,
Africa,,2021-02-28,0.26,
Africa,,2021-03-01,0.28,
Africa,,2021-03-02,0.28,
Africa,,2021-03-03,0.29,
Africa,,2021-03-04,0.3,
Africa,,2021-03-05,0.31,
Africa,,2021-03-06,0.32,
Africa,,2021-03-07,0.32,
Africa,,2021-03-08,0.34,
Africa,,2021-03-09,0.34,
Africa,,2021-03-10,0.36,
Africa,,2021-03-11,0.36,
Africa,,2021-03-12,0.37,
Africa,,2021-03-13,0.38,
Africa,,2021-03-14,0.38,
Africa,,2021-03-15,0.39,
Africa,,2021-03-16,0.39,
Africa,,2021-03-17,0.39,
Africa,,2021-03-18,0.41,
Africa,,2021-03-19,0.41,
Africa,,2021-03-20,0.41,
Africa,,2021-03-21,0.42,
Africa,,2021-03-22,0.42,
Africa,,2021-03-23,0.42,
Africa,,2021-03-24,0.47,
Africa,,2021-03-25,0.48,
Africa,,2021-03-26,0.48,
Africa,,2021-03-27,0.5,
Africa,,2021-03-28,0.52,
Africa,,2021-03-29,0.52,
Africa,,2021-03-30,0.53,
Africa,,2021-03-31,0.56,
Africa,,2021-04-01,0.57,
Africa,,2021-04-02,0.57,
Africa,,2021-04-03,0.58,
Africa,,2021-04-04,0.58,
Africa,,2021-04-05,0.59,
Africa,,2021-04-06,0.61,
Africa,,2021-04-07,0.63,
Africa,,2021-04-08,0.68,
Africa,,2021-04-09,0.69,
Africa,,2021-04-10,0.7,
Africa,,2021-04-11,0.71,
Africa,,2021-04-12,0.72,
Africa,,2021-04-13,0.73,
Africa,,2021-04-14,0.75,
